;UAI;Position;IPS voie GT
0;0121428M;44.347, 2.578;116.8
1;0140004D;49.279, -0.712;122.9
2;0140052F;48.894, -0.195;113.5
3;0141165R;49.296, -0.373;129.1
4;0141418R;49.153, 0.229;100.1
5;0141555P;48.839, -0.898;107.4
6;0142059M;49.198, -0.366;129.8
7;0142133T;49.196, -0.357;118.8
8;0211068X;47.028, 4.840;123.5
9;0211074D;47.329, 5.016;137.2
10;0212023K;47.859, 4.575;97.2
11;0270044B;49.081, 1.477;113.0
12;0271053Y;49.086, 1.458;132.9
13;0271070S;49.016, 1.149;118.6
14;0350028R;48.085, -1.688;114.7
15;0500017X;49.630, -1.606;108.6
16;0500026G;49.045, -1.444;111.0
17;0500087Y;48.572, -1.099;106.2
18;0501219D;49.108, -1.089;105.2
19;0501828R;49.639, -1.629;115.4
20;0593106F;50.638, 3.027;131.0
21;0593136N;50.724, 2.530;123.7
22;0594278E;51.026, 2.372;114.7
23;0595809U;50.365, 3.514;100.9
24;0610001V;48.440, 0.081;115.0
25;0610002W;48.410, 0.092;105.3
26;0610021S;48.744, -0.553;97.9
27;0610698C;48.749, -0.565;116.1
28;0740003B;45.906, 6.128;130.7
29;0740104L;46.205, 6.250;123.5
30;0760023M;49.923, 1.064;110.4
31;0760030V;49.288, 1.002;109.9
32;0760062E;49.491, 0.139;108.7
33;0760096S;49.451, 1.122;118.2
34;0761341V;49.451, 1.093;113.4
35;0761719F;49.430, 1.080;111.7
36;0761742F;49.401, 1.041;100.0
37;0762879S;49.463, 1.045;99.7
38;0762911B;49.400, 1.164;121.5
39;0762920L;49.565, 0.457;102.1
40;0762964J;49.387, 1.066;100.5
41;0763112V;49.757, 0.389;115.7
42;0860028N;46.428, 0.875;110.8
43;0590064Z;50.375, 3.079;101.0
44;0590093F;50.599, 2.987;113.7
45;0592921E;50.694, 3.182;105.3
46;0592929N;50.122, 3.933;110.7
47;9760125G;-12.849, 45.139;68.1
48;9760270P;-12.714, 45.052;75.4
49;9760370Y;-12.769, 45.221;74.6
50;0110023R;43.190, 3.019;106.3
51;0300002P;44.130, 4.075;101.5
52;0300023M;43.835, 4.346;110.4
53;0300027S;43.825, 4.353;106.7
54;0300052U;43.990, 3.601;107.7
55;0300125Y;44.123, 4.081;117.6
56;0300950V;44.164, 4.612;110.7
57;0301654K;43.786, 4.310;97.9
58;0331590Z;44.825, -0.575;129.5
59;0340009A;43.343, 3.211;98.3
60;0340075X;43.401, 3.692;116.4
61;0340076Y;43.396, 3.667;104.9
62;0341523W;43.404, 3.693;125.7
63;0341921D;43.649, 3.920;132.1
64;0342091N;43.263, 3.285;107.8
65;0342175E;43.567, 4.074;121.8
66;0470065R;44.404, 0.715;114.2
67;0480680D;44.799, 3.274;110.6
68;0530011Z;48.072, -0.762;112.8
69;0640126P;43.189, -0.610;115.0
70;0660014G;42.697, 2.926;107.4
71;0753598D;48.841, 2.339;148.3
72;0860903P;46.580, 0.350;135.6
73;0020059D;49.386, 3.323;101.2
74;0070001N;45.248, 4.672;102.4
75;0070003R;44.620, 4.383;112.5
76;0070021K;44.730, 4.594;113.8
77;0070071P;45.064, 4.835;117.4
78;0071351F;44.538, 4.690;113.0
79;0090013R;43.086, 1.883;111.2
80;0090036R;43.118, 1.613;120.5
81;0110012D;43.317, 1.949;110.5
82;0120059Z;43.957, 2.889;108.8
83;0260006R;44.732, 5.015;122.9
84;0260015A;44.555, 4.745;111.9
85;0290034E;48.084, -4.326;114.5
86;0290171D;47.981, -4.096;121.7
87;0290174G;47.872, -3.561;118.8
88;0310040A;43.638, 1.463;118.0
89;0310041B;43.609, 1.440;139.7
90;0311126F;43.654, 1.387;142.9
91;0311134P;43.596, 1.421;140.3
92;0311323V;43.585, 1.398;101.2
93;0312093G;43.616, 1.308;128.6
94;0312289V;43.540, 1.549;139.6
95;0312995M;43.210, 1.077;117.4
96;0320051G;43.651, 0.578;126.4
97;0320054K;43.931, 0.627;127.8
98;0320067Z;43.631, 0.590;118.2
99;0350042F;48.641, -2.005;105.9
100;0351907H;48.088, -1.643;116.8
101;0352686E;48.033, -1.734;122.8
102;0380008C;45.591, 5.270;112.4
103;0380027Y;45.188, 5.725;139.4
104;0380029A;45.179, 5.711;121.3
105;0380032D;45.179, 5.731;93.1
106;0380033E;45.171, 5.709;120.1
107;0380034F;45.169, 5.707;99.3
108;0380083J;45.504, 4.855;114.8
109;0381803D;45.174, 5.733;130.7
110;0382270L;45.435, 6.016;131.8
111;0382863F;45.215, 5.783;144.0
112;0382920T;45.146, 5.717;105.1
113;0383119J;45.321, 5.586;122.6
114;0383208F;45.199, 5.752;138.8
115;0420031F;46.038, 4.070;111.8
116;0460010L;44.609, 2.027;112.6
117;0492123S;47.491, -0.550;108.2
118;0590125R;50.628, 3.093;113.1
119;0590149S;50.282, 3.980;91.9
120;0590182C;50.679, 3.168;89.2
121;0592833J;50.544, 3.026;99.1
122;0592916Z;50.277, 3.976;112.3
123;0592922F;50.631, 3.048;139.7
