Index;Latitude-Longitude
0.0;48.9407344, 2.3260293840688933
1.0;48.9407344, 2.3260293840688933
2.0;48.9407344, 2.3260293840688933
3.0;48.8970314, 2.2780165909890355
5.0;48.67591045, 2.1645850416157053
6.0;48.67591045, 2.1645850416157053
8.0;48.01120365, 0.2004901175942984
9.0;44.19796635, 0.6142176133305135
10.0;43.3249638, 5.4138283
11.0;49.25838505, 4.045166714161439
12.0;48.5128934, 0.5537154
13.0;48.77902875, 2.44636590323773
15.0;43.5773524, 1.4786425
18.0;43.64037855, 4.795227554811718
21.0;43.2221058, 2.346500715091956
22.0;43.343443050000005, 3.2100408320000007
24.0;43.2221058, 2.346500715091956
27.0;49.0092942, 1.141040499528301
30.0;47.792928, 3.5512299477108926
31.0;43.9536461, 4.8109847
33.0;48.62920855, -2.0010001433028526
34.0;50.3648645, 3.5139519408286715
36.0;47.792928, 3.5512299477108926
37.0;48.0852136, -1.691565
38.0;49.0225255, 1.164059
39.0;47.16627965, 0.2459480180885059
40.0;48.6460963, -2.0148737991760703
44.0;45.692239650000005, 4.785440208214432
45.0;50.54327225, 2.980755489977505
46.0;44.8032257, -0.5910669
47.0;44.8029423, -0.5934097
51.0;50.54327225, 2.980755489977505
57.0;48.84518615, 2.540044976225557
62.0;46.1654149, -1.1535245491708517
63.0;46.1654149, -1.1535245491708517
68.0;49.0092942, 1.141040499528301
69.0;46.1654149, -1.1535245491708517
71.0;48.67591045, 2.1645850416157053
72.0;43.2651527, 3.286468157262984
73.0;50.437883, 2.7126267085438958
74.0;44.8029423, -0.5934097
76.0;43.61107205, 3.892345065338053
77.0;49.0542676, 1.1664082
78.0;43.9461726, 4.854034173835522
80.0;45.6227346, 5.218863
81.0;45.69241435, 4.785642106017573
83.0;46.364649150000005, 6.471564487670879
84.0;45.1941305, -0.7483707
86.0;44.16171995, 4.616790651777327
88.0;44.7597909, -0.6214520830224834
89.0;49.763277, 0.3711737272727216
90.0;44.8449459, -0.6475293
91.0;45.65362605, 0.1601009600539722
94.0;48.7111078, 2.3921607
95.0;43.7168526, 5.7366372
97.0;46.8033553, 4.407365292525695
98.0;47.65187165, -2.0787069432687284
100.0;43.6021423, 3.8735453341304416
101.0;45.89467255, 0.8970097887052884
103.0;48.6435598, 4.9638385
105.0;45.044811, 5.0576103573954665
109.0;45.9186652, 6.1429348
111.0;43.8228486, 5.039371743158843
114.0;45.6227346, 5.218863
115.0;47.88742015, -4.011630453043575
116.0;47.9922035, 0.1961994241124648
117.0;43.2381012, 5.3788776
118.0;48.877044, 2.2221631
119.0;50.437883, 2.7126267085438958
120.0;45.415282, 4.3902165
121.0;45.9078265, 6.7081865
122.0;48.30539205, -0.6289705242475696
124.0;45.54990535, 5.968868859960937
125.0;46.7983146, 1.7115853
126.0;45.18509285, 5.693284782550319
128.0;48.9939223, 2.3823003
129.0;46.3165561, 4.826873815567783
130.0;43.3465926, 5.354963
131.0;43.236215400000006, 5.381180983013004
132.0;45.73729045, -0.6416070191622567
133.0;45.5677515, 5.917412384282393
134.0;49.0216562, 1.165219757066694
135.0;45.3897798, 4.2920967
136.0;45.692239650000005, 4.785440208214432
137.0;45.67420045, 6.389228815284293
138.0;47.475869, -0.5466966255215617
141.0;43.6021423, 3.8735453341304416
142.0;48.6912277, 2.301524227838449
143.0;48.83892255, 1.0004032076269758
145.0;48.99109465, 2.2144126670043414
146.0;50.1756771, 3.228445510503279
147.0;45.692239650000005, 4.785440208214432
149.0;50.1501652, 2.356053231273721
150.0;45.73729045, -0.6416070191622567
151.0;50.46077185, 3.5825551706707315
152.0;43.2221058, 2.346500715091956
154.0;45.5677515, 5.917412384282393
157.0;50.46077185, 3.5825551706707315
159.0;48.7951273, 2.121499
160.0;46.1654149, -1.1535245491708517
161.0;48.8764506, 2.322618236490911
162.0;48.743355, 6.346912100318477
163.0;49.501879, 0.1086675609926605
164.0;47.6804744, -0.8737143
165.0;45.18509285, 5.693284782550319
166.0;49.63894085, -1.6296477467776234
168.0;48.636799, 2.42331113379216
169.0;50.1756771, 3.228445510503279
170.0;50.2875332, 2.765365531391049
173.0;48.8758395, 2.4297478
174.0;46.1262918, 1.0606458532845005
176.0;45.692239650000005, 4.785440208214432
177.0;43.3472056, 5.3555305
179.0;47.3869811, 0.8138298
180.0;48.2022687, 3.3042467
183.0;49.22848795, 4.00780180683326
186.0;48.5851539, 7.6960947758893
187.0;48.4389705, 0.1145464
188.0;43.7107965, 3.8333434
190.0;45.6025785, 4.7596634
191.0;50.7289983, 2.532360525491951
192.0;45.776588, 4.918084380277672
195.0;43.3054333, 5.3918836
196.0;46.1654149, -1.1535245491708517
198.0;44.3743483, 4.6994405
199.0;48.8822066, 2.2562922
200.0;45.8355029, 1.494265995934958
201.0;48.57723935, 7.772356708533332
202.0;47.68941275, -0.8766183242788465
205.0;48.0995722, -1.8072303550250173
206.0;46.5525797, 0.3096756
207.0;43.5303641, 5.4511066
208.0;46.58901195, 0.3663520497088017
209.0;46.17269435, 1.8713903294097407
210.0;47.7989319, 7.237362110995754
211.0;49.3976327, 1.1604396964327468
212.0;44.85310185, -0.5976202609250055
213.0;48.40868115000001, 0.091097373416484
215.0;45.6545083, 0.1782172
218.0;44.61998595, 4.383121253564713
219.0;48.22694065, 4.701441448176595
220.0;44.9158571, -0.6361079422894435
222.0;46.037379, 4.069461
225.0;48.99325795, 2.385017279243627
228.0;48.7003659, 2.097363630514653
229.0;48.7951273, 2.121499
230.0;51.47519625, -0.0818236738021855
231.0;50.4318409, 2.8363025
232.0;43.61107205, 3.892345065338053
234.0;48.8314915, 2.3313453
235.0;43.2651527, 3.286468157262984
236.0;49.501879, 0.1086675609926605
237.0;49.501879, 0.1086675609926605
238.0;45.9536302, 2.1670451
240.0;48.77889225, 7.847205490261382
241.0;47.475869, -0.5466966255215617
243.0;43.5308399, 1.3553294
244.0;44.9179281, -0.2395045881839022
247.0;47.0310523, 4.8398348
248.0;48.833251, 2.2384639182023083
249.0;36.2596128, 57.1242812
255.0;50.61683115, 3.0672705826256057
256.0;47.80175075, 7.113047805639631
258.0;45.77677305, 3.097730464223934
259.0;48.891839, 2.122037
260.0;45.267403900000005, 1.7671279952120436
261.0;48.636799, 2.42331113379216
262.0;44.8029423, -0.5934097
263.0;48.769586, 1.9472045
266.0;43.83486075, 1.4036484536234852
267.0;45.1572929, 1.52297
268.0;46.1654149, -1.1535245491708517
270.0;43.6619251, 5.5073376
271.0;48.99109465, 2.2144126670043414
272.0;48.830267, 1.9935966
274.0;45.8235588, 1.2416568
275.0;46.24967345, 5.631704633444665
277.0;4.9420979, -52.30137795499895
278.0;46.0646069, 6.5797007
279.0;44.8283721, -0.5653823879780258
281.0;44.144013, 4.8021036
282.0;47.9922035, 0.1961994241124648
285.0;45.7629751, 3.1296962247430384
286.0;49.0628446, 2.6809988
287.0;48.61249365, 2.4571686029448845
288.0;44.092259850000005, 4.081919275121818
290.0;48.8970314, 2.2780165909890355
295.0;45.8257586, 1.2755715604125883
296.0;48.5926789, -0.6418734593945685
297.0;45.3897798, 4.2920967
298.0;49.03612235, 7.960747003251291
300.0;43.61107205, 3.892345065338053
301.0;49.4506022, 1.1220361
302.0;-21.042995, 55.7187023
304.0;48.959198, 2.8751398046920986
305.0;43.3465926, 5.354963
307.0;48.9407344, 2.3260293840688933
308.0;48.8314915, 2.3313453
310.0;49.18054525, 2.465177194050366
311.0;5.6496159, -53.7423753
312.0;44.6914703, -0.5107122
314.0;42.961795550000005, 1.604882194559876
316.0;-22.1387187, 166.36898569164435
322.0;48.959198, 2.8751398046920986
323.0;48.07318475, 7.355600701207889
325.0;48.959198, 2.8751398046920986
328.0;45.4307398, 4.397475790642195
330.0;48.0883847, -1.6424281369539624
331.0;43.8743141, -0.4950231
334.0;48.2962781, -0.6155939
336.0;47.23802375, 4.972618382230396
337.0;48.6766724, 2.358519432652785
338.0;48.1260337, -1.6481584894705064
339.0;43.343443050000005, 3.2100408320000007
342.0;43.34123825, 5.422951278734683
349.0;48.089972, -1.64466
351.0;44.537888, 4.689065
353.0;45.7351105, -0.6142405864540873
354.0;48.60850455, 7.706729730987071
355.0;46.568957, 3.3292302
358.0;45.7620945, 5.6896859534689
360.0;46.5689551, 3.328338776755661
361.0;45.9262041, 6.8721665
365.0;48.959198, 2.8751398046920986
366.0;45.2477755, 4.672132060343419
367.0;48.833251, 2.2384639182023083
368.0;44.9179281, -0.2395045881839022
369.0;49.4773274, 1.1276716
370.0;43.95917335, 1.2525099818777503
371.0;49.51766975, 4.37292937933462
373.0;48.07318475, 7.355600701207889
375.0;48.959198, 2.8751398046920986
376.0;48.85436685, 2.3931522073413527
377.0;45.82848905, 1.2457275496611817
380.0;48.85436685, 2.3931522073413527
382.0;43.6538358, 6.941588220719359
384.0;44.073934, 6.1815279396764495
385.0;43.6242638, 3.8351278
387.0;44.03144985, 1.1209220422750057
390.0;45.8966062, 6.0950712
391.0;49.52112365, 0.5426676480738701
392.0;45.78025025, 3.0929034323854103
393.0;48.8389358, 2.1515803
394.0;43.2911541, 5.378680152745286
395.0;45.5677515, 5.917412384282393
396.0;49.52112365, 0.5426676480738701
397.0;48.4398998, 0.0824941
398.0;45.89758875, 6.121258373162274
399.0;45.54199925, 2.31614063859646
400.0;44.388733900000005, 6.652317789619231
402.0;45.06658955, 4.836298579713443
406.0;51.0183596, 2.355880863635083
408.0;47.3606439, 0.7024424
409.0;48.43663955, 2.149987552236743
410.0;47.7951773, 1.087614
411.0;45.9078265, 6.7081865
412.0;43.34912985, 3.23383073547636
413.0;51.0183596, 2.355880863635083
414.0;47.73074265, 7.304191390773961
415.0;48.4145892, -1.7412867
416.0;45.82848905, 1.2457275496611817
419.0;45.7807481, 3.0923033
422.0;43.6242638, 3.8351278
423.0;45.3608629, 5.601713986117389
424.0;48.1234225, -1.6490220346675637
425.0;48.5819199, 7.752455383828996
426.0;49.0216562, 1.165219757066694
429.0;48.9106115, 2.2581573
430.0;48.9106115, 2.2581573
432.0;43.61107205, 3.892345065338053
433.0;48.9106115, 2.2581573
434.0;44.9177026, 4.9170121
435.0;42.691004, 2.9083479
436.0;43.8228486, 5.039371743158843
437.0;45.9819843, 4.8007386
438.0;48.636799, 2.42331113379216
442.0;47.324011, 5.047847101053806
444.0;47.9057925, 7.213534
445.0;47.475869, -0.5466966255215617
446.0;44.85310185, -0.5976202609250055
447.0;47.324011, 5.047847101053806
448.0;44.0496532, 5.048016731741822
450.0;49.5651734, 3.608317439098492
452.0;47.68941275, -0.8766183242788465
453.0;46.2559871, 5.660965
454.0;48.732539, 2.2540177251734104
455.0;48.959198, 2.8751398046920986
456.0;43.3465926, 5.354963
457.0;44.9185976, 4.9180147
458.0;44.06960655, 7.166673132838708
459.0;44.9185976, 4.9180147
460.0;45.8992348, 6.1288847
461.0;45.1459512, 5.718224526222279
463.0;45.9373108, 6.133135442033583
464.0;44.9356664, 2.4537157
465.0;43.7107965, 3.8333434
466.0;47.792928, 3.5512299477108926
467.0;48.5934559, 7.7581306
469.0;48.99919535, 2.146000182675233
470.0;49.2517206, 4.0454266
474.0;48.9106115, 2.2581573
476.0;43.5822901, 7.1280461
478.0;49.8977626, 2.2733438
479.0;43.60495445, 7.0716426148793134
480.0;45.176580900000005, 5.745978307868106
482.0;43.63562285, 3.866249790285968
483.0;50.3648645, 3.5139519408286715
484.0;50.3212229, 3.3969971
486.0;47.4228171, 0.7066365
488.0;48.4438601, 1.4881434
489.0;49.8892093, 2.3029985
490.0;43.70350265, 7.271320740984317
491.0;50.6808511, 3.2054308
492.0;43.47106225, 6.545919062266792
493.0;43.7152784, 7.281905320479947
